step,x1,y1,z1,vx1,vy1,vz1,omegax1,omegay1,omegaz1,x2,y2,z2,vx2,vy2,vz2,omegax2,omegay2,omegaz2
0,-0.0060000000000000001,0,0,1,0,0,0,0,0,0.0060000000000000001,0,0,-1,0,0,0,0,0
10,-0.0059899999999999988,0,0,1,0,0,0,0,0,0.0059899999999999988,0,0,-1,0,0,0,0,0
20,-0.0059799999999999975,0,0,1,0,0,0,0,0,0.0059799999999999975,0,0,-1,0,0,0,0,0
30,-0.0059699999999999961,0,0,1,0,0,0,0,0,0.0059699999999999961,0,0,-1,0,0,0,0,0
40,-0.0059599999999999948,0,0,1,0,0,0,0,0,0.0059599999999999948,0,0,-1,0,0,0,0,0
50,-0.0059499999999999935,0,0,1,0,0,0,0,0,0.0059499999999999935,0,0,-1,0,0,0,0,0
60,-0.0059399999999999922,0,0,1,0,0,0,0,0,0.0059399999999999922,0,0,-1,0,0,0,0,0
70,-0.0059299999999999908,0,0,1,0,0,0,0,0,0.0059299999999999908,0,0,-1,0,0,0,0,0
80,-0.0059199999999999895,0,0,1,0,0,0,0,0,0.0059199999999999895,0,0,-1,0,0,0,0,0
90,-0.0059099999999999882,0,0,1,0,0,0,0,0,0.0059099999999999882,0,0,-1,0,0,0,0,0
100,-0.0058999999999999869,0,0,1,0,0,0,0,0,0.0058999999999999869,0,0,-1,0,0,0,0,0
110,-0.0058899999999999855,0,0,1,0,0,0,0,0,0.0058899999999999855,0,0,-1,0,0,0,0,0
120,-0.0058799999999999842,0,0,1,0,0,0,0,0,0.0058799999999999842,0,0,-1,0,0,0,0,0
130,-0.0058699999999999829,0,0,1,0,0,0,0,0,0.0058699999999999829,0,0,-1,0,0,0,0,0
140,-0.0058599999999999815,0,0,1,0,0,0,0,0,0.0058599999999999815,0,0,-1,0,0,0,0,0
150,-0.0058499999999999802,0,0,1,0,0,0,0,0,0.0058499999999999802,0,0,-1,0,0,0,0,0
160,-0.0058399999999999789,0,0,1,0,0,0,0,0,0.0058399999999999789,0,0,-1,0,0,0,0,0
170,-0.0058299999999999776,0,0,1,0,0,0,0,0,0.0058299999999999776,0,0,-1,0,0,0,0,0
180,-0.0058199999999999762,0,0,1,0,0,0,0,0,0.0058199999999999762,0,0,-1,0,0,0,0,0
190,-0.0058099999999999749,0,0,1,0,0,0,0,0,0.0058099999999999749,0,0,-1,0,0,0,0,0
200,-0.0057999999999999736,0,0,1,0,0,0,0,0,0.0057999999999999736,0,0,-1,0,0,0,0,0
210,-0.0057899999999999723,0,0,1,0,0,0,0,0,0.0057899999999999723,0,0,-1,0,0,0,0,0
220,-0.0057799999999999709,0,0,1,0,0,0,0,0,0.0057799999999999709,0,0,-1,0,0,0,0,0
230,-0.0057699999999999696,0,0,1,0,0,0,0,0,0.0057699999999999696,0,0,-1,0,0,0,0,0
240,-0.0057599999999999683,0,0,1,0,0,0,0,0,0.0057599999999999683,0,0,-1,0,0,0,0,0
250,-0.0057499999999999669,0,0,1,0,0,0,0,0,0.0057499999999999669,0,0,-1,0,0,0,0,0
260,-0.0057399999999999656,0,0,1,0,0,0,0,0,0.0057399999999999656,0,0,-1,0,0,0,0,0
270,-0.0057299999999999643,0,0,1,0,0,0,0,0,0.0057299999999999643,0,0,-1,0,0,0,0,0
280,-0.005719999999999963,0,0,1,0,0,0,0,0,0.005719999999999963,0,0,-1,0,0,0,0,0
290,-0.0057099999999999616,0,0,1,0,0,0,0,0,0.0057099999999999616,0,0,-1,0,0,0,0,0
300,-0.0056999999999999603,0,0,1,0,0,0,0,0,0.0056999999999999603,0,0,-1,0,0,0,0,0
310,-0.005689999999999959,0,0,1,0,0,0,0,0,0.005689999999999959,0,0,-1,0,0,0,0,0
320,-0.0056799999999999577,0,0,1,0,0,0,0,0,0.0056799999999999577,0,0,-1,0,0,0,0,0
330,-0.0056699999999999563,0,0,1,0,0,0,0,0,0.0056699999999999563,0,0,-1,0,0,0,0,0
340,-0.005659999999999955,0,0,1,0,0,0,0,0,0.005659999999999955,0,0,-1,0,0,0,0,0
350,-0.0056499999999999537,0,0,1,0,0,0,0,0,0.0056499999999999537,0,0,-1,0,0,0,0,0
360,-0.0056399999999999523,0,0,1,0,0,0,0,0,0.0056399999999999523,0,0,-1,0,0,0,0,0
370,-0.005629999999999951,0,0,1,0,0,0,0,0,0.005629999999999951,0,0,-1,0,0,0,0,0
380,-0.0056199999999999497,0,0,1,0,0,0,0,0,0.0056199999999999497,0,0,-1,0,0,0,0,0
390,-0.0056099999999999484,0,0,1,0,0,0,0,0,0.0056099999999999484,0,0,-1,0,0,0,0,0
400,-0.005599999999999947,0,0,1,0,0,0,0,0,0.005599999999999947,0,0,-1,0,0,0,0,0
410,-0.0055899999999999457,0,0,1,0,0,0,0,0,0.0055899999999999457,0,0,-1,0,0,0,0,0
420,-0.0055799999999999444,0,0,1,0,0,0,0,0,0.0055799999999999444,0,0,-1,0,0,0,0,0
430,-0.0055699999999999431,0,0,1,0,0,0,0,0,0.0055699999999999431,0,0,-1,0,0,0,0,0
440,-0.0055599999999999417,0,0,1,0,0,0,0,0,0.0055599999999999417,0,0,-1,0,0,0,0,0
450,-0.0055499999999999404,0,0,1,0,0,0,0,0,0.0055499999999999404,0,0,-1,0,0,0,0,0
460,-0.0055399999999999391,0,0,1,0,0,0,0,0,0.0055399999999999391,0,0,-1,0,0,0,0,0
470,-0.0055299999999999377,0,0,1,0,0,0,0,0,0.0055299999999999377,0,0,-1,0,0,0,0,0
480,-0.0055199999999999364,0,0,1,0,0,0,0,0,0.0055199999999999364,0,0,-1,0,0,0,0,0
490,-0.0055099999999999351,0,0,1,0,0,0,0,0,0.0055099999999999351,0,0,-1,0,0,0,0,0
500,-0.0054999999999999338,0,0,1,0,0,0,0,0,0.0054999999999999338,0,0,-1,0,0,0,0,0
510,-0.0054899999999999324,0,0,1,0,0,0,0,0,0.0054899999999999324,0,0,-1,0,0,0,0,0
520,-0.0054799999999999311,0,0,1,0,0,0,0,0,0.0054799999999999311,0,0,-1,0,0,0,0,0
530,-0.0054699999999999298,0,0,1,0,0,0,0,0,0.0054699999999999298,0,0,-1,0,0,0,0,0
540,-0.0054599999999999285,0,0,1,0,0,0,0,0,0.0054599999999999285,0,0,-1,0,0,0,0,0
550,-0.0054499999999999271,0,0,1,0,0,0,0,0,0.0054499999999999271,0,0,-1,0,0,0,0,0
560,-0.0054399999999999258,0,0,1,0,0,0,0,0,0.0054399999999999258,0,0,-1,0,0,0,0,0
570,-0.0054299999999999245,0,0,1,0,0,0,0,0,0.0054299999999999245,0,0,-1,0,0,0,0,0
